"Title","Publish Year","Authors","Rating","Image Uri","Amazon Uri","Content Uri","Content Type","Category Group Name","Category Name","Reflection"
"Windows System Programming","2010","Johnson M. Hart","0.00","http://ecx.images-amazon.com/images/I/61bYnZfQ1TL._SX395_BO1,204,203,200_.jpg","http://www.amazon.com/Programming-Paperback-Addison-Wesley-Microsoft-Technology/dp/0134382250/ref=sr_1_1?s=books&ie=UTF8&qid=1456837214&sr=1-1&keywords=Windows+System+Programming","","","Software Engineering","Programming",""
"Developer's Guide to Collections in Microsoft .NET","2011","Calvin Janes","0.00","http://ecx.images-amazon.com/images/I/51iIBX3vdfL._SX408_BO1,204,203,200_.jpg","http://www.amazon.com/Game-Programming-Serious-Creation/dp/1435455568/ref=sr_1_1?s=books&ie=UTF8&qid=1456829339&sr=1-1&keywords=C%23+Game+Programming+Daniel+Schuller","","","Software Engineering","Programming",""
"Functional Programming in C#: Classic Programming Techniques for Modern Projects","2011","Oliver Sturm","0.00","http://ecx.images-amazon.com/images/I/51YJUOaMI-L._SX394_BO1,204,203,200_.jpg","http://www.amazon.com/Functional-Programming-Classic-Techniques-Projects/dp/0470744588/ref=sr_1_1?s=books&ie=UTF8&qid=1456829483&sr=1-1&keywords=Functional+Programming+in+C%23","","","Software Engineering","Programming",""
"Professional Test Driven Development with C#: Developing Real World Applications with TDD","2011","James Bender, Jeff McWherter","0.00","http://ecx.images-amazon.com/images/I/51xpPeFhJPL._SX396_BO1,204,203,200_.jpg","http://www.amazon.com/Professional-Test-Driven-Development-Applications/dp/047064320X/ref=sr_1_1?s=books&ie=UTF8&qid=1456829549&sr=1-1&keywords=Professional+Test+Driven+Development+with+C%23","","","Software Engineering","Programming",""
"Parallel Programming with Microsoft Visual C++","2011","Colin Campbell","0.00","http://ecx.images-amazon.com/images/I/51h11jAELwL._SX408_BO1,204,203,200_.jpg","http://www.amazon.com/Parallel-Programming-Microsoft-Visual-Decomposition/dp/0735651752/ref=sr_1_1?s=books&ie=UTF8&qid=1456831934&sr=1-1&keywords=Professional+C%2B%2B+colin+campbell","","","Software Engineering","Programming",""
"Objective-C: Visual QuickStart Guide","2011","Steven Holzner","0.00","http://ecx.images-amazon.com/images/I/41LFZDW9qiL._SX387_BO1,204,203,200_.jpg","http://www.amazon.com/Objective-C-Visual-QuickStart-Steven-Holzner/dp/0321699467/ref=sr_1_1?s=books&ie=UTF8&qid=1456832063&sr=1-1&keywords=ObjectiveC+Visual+QuickStart+Guide","","","Software Engineering","Programming",""
"Parallel Programming with Microsoft VisualStudio 2010 Step by Step","2011","Donis Marshal","0.00","http://ecx.images-amazon.com/images/I/512rTPi7cCL._SX411_BO1,204,203,200_.jpg","http://www.amazon.com/Parallel-Programming-Microsoft-Visual-Developer/dp/0735640602/ref=sr_1_sc_1?s=books&ie=UTF8&qid=1456837417&sr=1-1-spell&keywords=Parallel+Programming+with+Microsoft+VisualStudio+2010+Step+by+Step","","","Software Engineering","Programming",""
"Professional Test Driven Development with C#","2011","James Bender","0.00","http://ecx.images-amazon.com/images/I/51xpPeFhJPL._SX396_BO1,204,203,200_.jpg","http://www.amazon.com/Professional-Test-Driven-Development-Applications/dp/047064320X/ref=sr_1_1?s=books&ie=UTF8&qid=1456837509&sr=1-1&keywords=Professional+Test+Driven+Development+with+C%23","","","Software Engineering","Programming",""
"Introducing Regular Expressions","2012","Michael Fitzgerald","0.00","http://ecx.images-amazon.com/images/I/51oR5czxKdL._SX383_BO1,204,203,200_.jpg","http://www.amazon.com/Introducing-Regular-Expressions-Michael-Fitzgerald/dp/1449392687/ref=sr_1_1?s=books&ie=UTF8&qid=1456837557&sr=1-1&keywords=Introducing+Regular+Expressions","","","Software Engineering","Programming",""
"Microsoft Windows Identity Foundation Cookbook","2012","Sandeep Chanda","0.00","http://ecx.images-amazon.com/images/I/51XV33TmNjL._SX403_BO1,204,203,200_.jpg","http://www.amazon.com/Microsoft-Windows-Identity-Foundation-Cookbook/dp/1849686203/ref=sr_1_1?s=books&ie=UTF8&qid=1456837608&sr=1-1&keywords=Microsoft+Windows+Identity+Foundation+Cookbook","","","Software Engineering","Programming",""
